cfop,descricao
5910,"Remessa em bonificacao, doacao ou brinde (dentro do estado)"
5911,Remessa de amostra gratis (dentro do estado)
6910,"Remessa em bonificacao, doacao ou brinde (fora do estado)"
6911,Remessa de amostra gratis (fora do estado)
