filial_venda,seq_nota_fiscal,cod_produto_venda,qtd_venda,um_venda,preco_unit_venda,total_venda,cod_vendedor,estado,dt_emissao,nome_cliente,chave_cliente
01007,209047,PA01010006,96,CX,-,-,000022,RS,30/10/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,180837,PA01020009,159,CX,-,-,000022,RS,12/06/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,203091,PA01010001,111,CX,-,-,000022,RS,30/09/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,158782,PA01020012,52,CX,-,-,000022,RS,16/02/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,156922,PA01020009,71,CX,-,-,000022,RS,07/02/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,158782,PA01020012,52,CX,-,-,000022,RS,16/02/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,210828,PA01010006,96,CX,-,-,000022,RS,08/11/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01007,167644,PA01020002,212,CX,-,-,000022,RS,03/04/2024,OSMAR NICOLINI COMERCIO E DISTRIBUICAO S.A.,898356720019
01006,189212,PA01020009,16,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189234,PA01020011,10,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189214,PA01020011,3,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189236,PA01020009,42,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189244,PA01020011,10,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189252,PA01020009,81,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189246,PA01020009,65,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,189250,PA01020011,16,CX,-,-,000012,SC,23/07/2024,BRASAO SUPERMERCADOS SA,833079260001
01006,228284,PA01010005,50,CX,-,-,000012,SC,31/01/2025,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,208028,PA01010005,60,CX,-,-,000012,SC,25/10/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,200099,PA01010005,60,CX,-,-,000012,SC,13/09/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,175026,PA01010005,70,CX,-,-,000012,SC,15/05/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
01006,158257,PA01010005,70,CX,-,-,000012,SC,13/02/2024,IMPERIAL SUPERMERCADOS LTDA,853874470004
