cfop,descricao
5901,Remessa para industrializacao por encomenda (dentro do estado)
5903,Retorno de mercadoria remetida para industrializacao (dentro do estado)
6901,Remessa para industrializacao por encomenda (fora do estado)
6903,Retorno de mercadoria remetida para industrializacao (fora do estado)
